Ergebnis;Link
Los-ID 2744522 - Ausschreibung SAP BW/4HANA Transformation;https://www.beschaffungsmarkt-office.de/oeffentliche_ausschreibung_vobvol_details_13353_Berlin_SAP_BW_4HANA_Transformation_2744522.html
Rahmenvertrag für SAP HANA Server Hardware ...;https://www.service.bund.de/IMPORTE/Ausschreibungen/dtvp/2025/09/291010.html?nn=4641474
Lizenzbeschaffung und Implementierung der SAP S ...;https://ausschreibungen-deutschland.de/2325048_Deutschland__Dienstleistungen_in_Verbindung_mit_Software__Lizenzbeschaffung_und_2025_Hamburg
Migration SAP S/4HANA;https://www.service.bund.de/IMPORTE/Ausschreibungen/dtvp/2025/07/283948.html
Los-ID 2959684 - Ausschreibung SAP S/4HANA Greenfield ...;https://www.beschaffungsmarkt-office.de/oeffentliche_ausschreibung_vobvol_details_70565_Stuttgart_SAP_S_4HANA_Greenfield_Transformation_2959684.html
SAP S4/HANA Umstellung für das Leibniz-Institut ...;https://www.evergabe.com/hr/natjecaji/sap-s4-hana-umstellung-fur-das-leibniz-institut-fur-polymerforschung-dresden-e-v-ipf-1440446/
Ausschreibungen Übersicht über alle gefundenen ...;https://vergabekooperation.berlin/NetServer/PublicationSearchControllerServlet?function=SearchPublications&Order=asc&OrderBy=EndTime&Gesetzesgrundlage=All&Start=0
Bekanntmachungen für "Softwareprogrammierung und ...";https://www.evergabe.nrw.de/VMPCenter/company/announcements/categoryOverview.do;jsessionid=8LuaHedJeHZ2Q3Em5b2wzo4U?method=showTable&cpvCode=72200000-7
Ausschreibungsbestimmungen SAP IDM;https://vergabe.hessen.de/NetServer/TenderingProcedureDetails?function=_DownloadTenderDocument&documentOID=54321-SpecificationVersion-1560c65e4ea-679c1871113a0ddf&Document=QXVzc2NocmVpYnVuZ3NiZXN0aW1tdW5nZW4ucGRm
SAP S/4 Hana;https://www.koinno-bmwk.de/fileadmin/user_upload/events/ESWE_BME_Award_TdoeAG17.06.21.pdf
Projektsteckbrief Los 5;https://www.dtvp.de/Satellite/public/company/project/CXP4YE35UU5/de/documents/serviceDescription/Projektsteckbrief+Los+5+Financial+Services.pdf;jsessionid=ZIEQgRqmhK-4h64t2bzKijZSBrrvPD4hFkjO_Ehh.psat02
Deine neue SAP-Stelle | Staffing in ERP & CRM;https://eswelt.com/de/expertisen/sap
Ausschreibung - Deutsche Rentenversicherung Bund;https://www.deutsche-rentenversicherung-bund.de/einkaufskoordination/NetServer/PublicationSearchControllerServlet?function=Search&OrderBy=TenderName&Order=asc&Category=&TenderKind=All&Authority=&Searchkey=NOW+IT&TenderLaw=All
Ariba Sourcing - Lieferantenhandbuch;https://www.evonik.com/content/dam/evonik/documents/SAP%20Ariba%20Sourcing%20Lieferantenhandbuch.pdf.coredownload.pdf
Dienstleistungen - 622834-2021;https://www.stadtwerke-erfurt.de/pb/site/swe/get/documents_E616006357/swe/documents/Konzern/Ausschreibungen/2021/Ver%C3%B6ffentlichung%20S001-2021%20Transformation%20SAP%20S4%20HANA.pdf
SAP-Anwendungsbetreuung;https://uol.de/itdienste/services/sap-anwendungsbetreuung
Ariba-Support, Handbuch und Videos für Lieferanten;https://ptp-selfservice.telekom-dienste.de/extern/s/article/Ariba-Support-Gibt-es-ein-Handbuch-fuer-Lieferanten-fuer-SAP-Ariba
Ausschreibungsarchiv - Beratung zum EU-LIFE-Programm;https://life-deutschland.de/life-ausschreibungen/ausschreibungsarchiv/
SAP RISE Subscription und Migration;https://ausschreibungen.usp.gv.at/at.gv.bmdw.eproc-p/public/tender-detail?object=23602b0b-c7b0-4f10-9910-7ee5329433bc-018ced78-e2ff-43c0-9fa5-b23fc42c4999&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9sb2FkPXRydWU=&orderColumn=2&orderDir=desc&start=0
Rahmenvertrag für Dienstleistungen im Service- und ...;https://www.evergabe-online.de/tenderdetails.html?id=803868
DV-Koordinator (w/m/d) Personalsysteme / SAP HCM;https://bewerberportal.umm.de/Vacancies/4786/Description/1
(Senior) Manager SAP S/4 Finance (w/m/d);https://www.1a-zukunft.com/stellenangebote/senior-manager-sap-s-4-finance-w-m-d
Bekanntmachungen und Ausschreibungen;https://www.tender24.de/NetServer/PublicationSearchControllerServlet?function=SearchPublications&OrderBy=TenderLawCaption&Order=desc&Category=InvitationToTender&Gesetzesgrundlage=All&thContext=publications&Searchkey=enbw
Vergabe der Entwicklung und des Betriebs der Corona-Warn ...;https://dip.bundestag.de/vorgang/vergabe-der-entwicklung-und-des-betriebs-der-corona-warn-app-an-sap/324237?f.deskriptor=COVID-19&start=26&rows=25&pos=27&ctx=d
Payroll in der SAP Cloud - CCV;https://cc-verband.de/payroll-in-der-sap-cloud/
SAP Lieferantenregistrierung - Vergabe Ausschreibungen;https://vergabe.fraunhofer.de/tender-info/sap-lieferantenregistrierung/
SAP-Ariba-Help-Center;https://support.ariba.com/Help_Center/help?locale=de
Einkauf und Beschaffung;https://www.drumm.sh/aad125dc4a01ecdb3aeaecb8923e308b/03_einkauf.pdf
Wissenschaftliches Projektmodul (M.Sc.);https://www.uni-giessen.de/de/fbz/fb02/fb/professuren/bwl/BWL-IV/dateien/ausschreibung-_projektmodul_msc.pdf
SAP Basis Administratorin (gn*);https://www.gestra.com/careers/germany/sap-basis-administratorin?sc_lang=en-GB
SAP-Modulbetreuung Personal (SAP-HCM) (w/m/d) - Jobportal;https://jobportal.uni-koeln.de/ausschreibung/renderFile/2048?propertyName=flyer
Landeshauptstadt München: SAP-Spotconsulting für ...;https://xvergabe.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-18d796a2d2c-ad089b8593f8657&
Stellenangebote | KAP Berlin GmbH – Krankenhaus-IT mit SAP;https://www.kap-berlin.de/unternehmen/stellenangebote/
Dienstleistung SAP BW/4HANA, SAC, FIORI (2024-0056-12);https://vergabeplattform.stadt-koeln.de/NetServer/PublicationControllerServlet?function=Detail&TWOID=54321-Tender-19077ea0dc4-2c9c043078c77067&PublicationType=3
Veröffentlichungen;https://bund.jobboerse.gv.at/sap/bc/publication/index.html?Ressort=0013&Ptype=15
Stellenangebote-Detailansicht-Startseite - FB07;https://www.uni-kassel.de/fb07/infothek/stellenangebote-detailansicht-startseite/2024/10/17/bewerbung-fuer-den-sap-ts-410-kurs-im-ws24-25-ab-sofort-moeglich.html?cHash=4ab9efb1b8fa061f144033756d985868
IT-Dienste - Vergabesatellit | Land NRW | Erweiterte Suche;https://www.evergabe.nrw.de/VMPSatellite/company/announcements/categoryOverview.do?method=showTable&cpvCode=72000000-5
ausschreibung-599742-2024-DEU.txt;http://www.icc-hofmann.net/NewsTicker/202410/ausschreibung-599742-2024-DEU.txt
Abteilung 1.3 Beschaffung und Zollangelegenheiten;https://www.uni-siegen.de/zuv/dezernat1neu/abteilung_1_3/
BAPIs für das Aulesen/Anlegen von Angeboten?;https://abapforum.com/forum/viewtopic.php?t=3381
SAP Inhouse Consultant/in SAP-Support in Finanzen & ...;https://www.houseofconsultants.de/de/job.php?id=3051
Vergabeplattform Land Hessen;https://vergabe.hessen.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-194570088b3-5183e3f6e3247519
SAP Prozessmanager WM/PP (m/w/d) Ihr Aufgabenbereich;https://www.dunkermotoren.de/-/media/project/oneweb/oneweb/dunkermotoren/downloads/pdf/career/stellenangebote/015_sap-prozessmanager.pdf
SAP Ariba® Ausschreibungen und ...;https://grace.com/vendor-suppliers/sap-ariba-support/sap-ariba-support-de/sap-ariba-faqs-de/sap-ariba-sourcing-collaboration-faqs-de/
Auktion/ Ausschreibung;https://ptp-selfservice.telekom-dienste.de/extern/s/topic/0TO0Y000000L4YhWAK/auktion-ausschreibung
BDO Prüfmandat SAP: Signalwirkung für Prüfungsbranche;https://www.signium.com/de/news/bdo-sap-pruefungsbranche/
SAP S/4HANA Migration Lead (m/w/d);https://www.t5-karriereportal.de/job/sap-s-4hana-migration-lead-m-w-d-bei-a-menarini-research-business-service-gmbh/
Herzlich willkommen auf dem Vergabesatellit Rheinland;https://www.vmp-rheinland.de/VMPSatellite/company/welcome.do?method=showTable&fromSearch=1&tableSortPROJECT_RESULT=2&tableSortAttributePROJECT_RESULT=relevantDate&selectedTablePagePROJECT_RESULT=12
Ausschreibungen - öffentliche Ausschreibungen;http://ausschreibungen.icc-hofmann.de/cgi-bin/docorder?FM_ND=2025081800525966551
Dienstleistung SAP BW/4HANA, SAC, FIORI (offenevergaben.at Eintrag);https://offenevergaben.at/auftr%C3%A4ge/183744
Funktionale und technische SAP Ressourcen für SAP S/4 ...;https://www.it-beschaffung.ch/10546/funktionale-und-technische-sap-ressourcen-fur-sap-s4-hana-bw4-hana-und-sac-losungen
Eignungsliste Los 1 SAP Applikationswartung;https://my.vergabe.rib.de/eignungskriterien.php?lv_id=93204
Sicherstellung des Betriebs der bestehenden SAP IDM ...;https://vergabe.fraunhofer.de/NetServer/ausschreibung-sicherstellung-des-betriebs-der-bestehenden-sap-idm-loesung?function=Detail&TOID=54321-NetTender-197454c25fd-4d592337da535ce&Category=InvitationToTender&servlet=PublicationControllerServlet